"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C02466V02984","Criteria for Projection","UNIT","VALUE"
"PEC25C01","Projected Annual Births","2033","2033","-","Both sexes","22","Method - M2","Number","51371"
"PEC25C01","Projected Annual Births","2033","2033","-","Both sexes","23","Method - M3","Number","49559"
"PEC25C01","Projected Annual Births","2033","2033","1","Male","21","Method - M1","Number","27260"
"PEC25C01","Projected Annual Births","2033","2033","1","Male","22","Method - M2","Number","26358"
"PEC25C01","Projected Annual Births","2033","2033","1","Male","23","Method - M3","Number","25429"
"PEC25C01","Projected Annual Births","2033","2033","2","Female","21","Method - M1","Number","25869"
"PEC25C01","Projected Annual Births","2033","2033","2","Female","22","Method - M2","Number","25013"
"PEC25C01","Projected Annual Births","2033","2033","2","Female","23","Method - M3","Number","24130"
"PEC25C01","Projected Annual Births","2034","2034","-","Both sexes","21","Method - M1","Number","53194"
"PEC25C01","Projected Annual Births","2034","2034","-","Both sexes","22","Method - M2","Number","51219"
"PEC25C01","Projected Annual Births","2034","2034","-","Both sexes","23","Method - M3","Number","49107"
"PEC25C01","Projected Annual Births","2034","2034","1","Male","21","Method - M1","Number","27294"
"PEC25C01","Projected Annual Births","2034","2034","1","Male","22","Method - M2","Number","26280"
"PEC25C01","Projected Annual Births","2034","2034","1","Male","23","Method - M3","Number","25197"
"PEC25C01","Projected Annual Births","2034","2034","2","Female","21","Method - M1","Number","25900"
"PEC25C01","Projected Annual Births","2034","2034","2","Female","22","Method - M2","Number","24939"
"PEC25C01","Projected Annual Births","2034","2034","2","Female","23","Method - M3","Number","23910"
"PEC25C01","Projected Annual Births","2035","2035","-","Both sexes","21","Method - M1","Number","53332"
"PEC25C01","Projected Annual Births","2035","2035","-","Both sexes","22","Method - M2","Number","51151"
"PEC25C01","Projected Annual Births","2035","2035","-","Both sexes","23","Method - M3","Number","48747"
"PEC25C01","Projected Annual Births","2035","2035","1","Male","21","Method - M1","Number","27365"
"PEC25C01","Projected Annual Births","2035","2035","1","Male","22","Method - M2","Number","26246"
"PEC25C01","Projected Annual Births","2035","2035","1","Male","23","Method - M3","Number","25012"
"PEC25C01","Projected Annual Births","2035","2035","2","Female","21","Method - M1","Number","25967"
"PEC25C01","Projected Annual Births","2035","2035","2","Female","22","Method - M2","Number","24905"
"PEC25C01","Projected Annual Births","2035","2035","2","Female","23","Method - M3","Number","23735"
"PEC25C01","Projected Annual Births","2036","2036","-","Both sexes","21","Method - M1","Number","53421"
"PEC25C01","Projected Annual Births","2036","2036","-","Both sexes","22","Method - M2","Number","51047"
"PEC25C01","Projected Annual Births","2036","2036","-","Both sexes","23","Method - M3","Number","48361"
"PEC25C01","Projected Annual Births","2036","2036","1","Male","21","Method - M1","Number","27410"
"PEC25C01","Projected Annual Births","2036","2036","1","Male","22","Method - M2","Number","26192"
"PEC25C01","Projected Annual Births","2036","2036","1","Male","23","Method - M3","Number","24814"
"PEC25C01","Projected Annual Births","2036","2036","2","Female","21","Method - M1","Number","26011"
"PEC25C01","Projected Annual Births","2036","2036","2","Female","22","Method - M2","Number","24855"
"PEC25C01","Projected Annual Births","2036","2036","2","Female","23","Method - M3","Number","23547"
"PEC25C01","Projected Annual Births","2037","2037","-","Both sexes","21","Method - M1","Number","53501"
"PEC25C01","Projected Annual Births","2037","2037","-","Both sexes","22","Method - M2","Number","50944"
"PEC25C01","Projected Annual Births","2037","2037","-","Both sexes","23","Method - M3","Number","47991"
"PEC25C01","Projected Annual Births","2037","2037","1","Male","21","Method - M1","Number","27451"
"PEC25C01","Projected Annual Births","2037","2037","1","Male","22","Method - M2","Number","26139"
"PEC25C01","Projected Annual Births","2037","2037","1","Male","23","Method - M3","Number","24624"
"PEC25C01","Projected Annual Births","2037","2037","2","Female","21","Method - M1","Number","26050"
"PEC25C01","Projected Annual Births","2037","2037","2","Female","22","Method - M2","Number","24805"
"PEC25C01","Projected Annual Births","2037","2037","2","Female","23","Method - M3","Number","23367"
"PEC25C01","Projected Annual Births","2038","2038","-","Both sexes","21","Method - M1","Number","53499"
"PEC25C01","Projected Annual Births","2038","2038","-","Both sexes","22","Method - M2","Number","50771"
"PEC25C01","Projected Annual Births","2038","2038","-","Both sexes","23","Method - M3","Number","47560"
"PEC25C01","Projected Annual Births","2038","2038","1","Male","21","Method - M1","Number","27450"
"PEC25C01","Projected Annual Births","2038","2038","1","Male","22","Method - M2","Number","26051"
"PEC25C01","Projected Annual Births","2038","2038","1","Male","23","Method - M3","Number","24403"
"PEC25C01","Projected Annual Births","2038","2038","2","Female","21","Method - M1","Number","26049"
"PEC25C01","Projected Annual Births","2038","2038","2","Female","22","Method - M2","Number","24720"
"PEC25C01","Projected Annual Births","2038","2038","2","Female","23","Method - M3","Number","23157"
"PEC25C01","Projected Annual Births","2039","2039","-","Both sexes","21","Method - M1","Number","54179"
"PEC25C01","Projected Annual Births","2039","2039","-","Both sexes","22","Method - M2","Number","51249"
"PEC25C01","Projected Annual Births","2039","2039","-","Both sexes","23","Method - M3","Number","47751"
"PEC25C01","Projected Annual Births","2039","2039","1","Male","21","Method - M1","Number","27799"
"PEC25C01","Projected Annual Births","2039","2039","1","Male","22","Method - M2","Number","26296"
"PEC25C01","Projected Annual Births","2039","2039","1","Male","23","Method - M3","Number","24501"
"PEC25C01","Projected Annual Births","2039","2039","2","Female","21","Method - M1","Number","26380"
"PEC25C01","Projected Annual Births","2039","2039","2","Female","22","Method - M2","Number","24953"
"PEC25C01","Projected Annual Births","2039","2039","2","Female","23","Method - M3","Number","23250"
"PEC25C01","Projected Annual Births","2040","2040","-","Both sexes","21","Method - M1","Number","54811"
"PEC25C01","Projected Annual Births","2040","2040","-","Both sexes","22","Method - M2","Number","51687"
"PEC25C01","Projected Annual Births","2040","2040","-","Both sexes","23","Method - M3","Number","47904"
"PEC25C01","Projected Annual Births","2040","2040","1","Male","21","Method - M1","Number","28124"
"PEC25C01","Projected Annual Births","2040","2040","1","Male","22","Method - M2","Number","26521"
"PEC25C01","Projected Annual Births","2040","2040","1","Male","23","Method - M3","Number","24580"
"PEC25C01","Projected Annual Births","2040","2040","2","Female","21","Method - M1","Number","26687"
"PEC25C01","Projected Annual Births","2040","2040","2","Female","22","Method - M2","Number","25166"
"PEC25C01","Projected Annual Births","2040","2040","2","Female","23","Method - M3","Number","23324"
"PEC25C01","Projected Annual Births","2041","2041","-","Both sexes","21","Method - M1","Number","55370"
"PEC25C01","Projected Annual Births","2041","2041","-","Both sexes","22","Method - M2","Number","52062"
"PEC25C01","Projected Annual Births","2041","2041","-","Both sexes","23","Method - M3","Number","48003"
"PEC25C01","Projected Annual Births","2041","2041","1","Male","21","Method - M1","Number","28410"
"PEC25C01","Projected Annual Births","2041","2041","1","Male","22","Method - M2","Number","26713"
"PEC25C01","Projected Annual Births","2041","2041","1","Male","23","Method - M3","Number","24630"
"PEC25C01","Projected Annual Births","2041","2041","2","Female","21","Method - M1","Number","26960"
"PEC25C01","Projected Annual Births","2041","2041","2","Female","22","Method - M2","Number","25349"
"PEC25C01","Projected Annual Births","2041","2041","2","Female","23","Method - M3","Number","23373"
"PEC25C01","Projected Annual Births","2042","2042","-","Both sexes","21","Method - M1","Number","55890"
"PEC25C01","Projected Annual Births","2042","2042","-","Both sexes","22","Method - M2","Number","52411"
"PEC25C01","Projected Annual Births","2042","2042","-","Both sexes","23","Method - M3","Number","48084"
"PEC25C01","Projected Annual Births","2042","2042","1","Male","21","Method - M1","Number","28677"
"PEC25C01","Projected Annual Births","2042","2042","1","Male","22","Method - M2","Number","26892"
"PEC25C01","Projected Annual Births","2042","2042","1","Male","23","Method - M3","Number","24672"
"PEC25C01","Projected Annual Births","2042","2042","2","Female","21","Method - M1","Number","27213"
"PEC25C01","Projected Annual Births","2042","2042","2","Female","22","Method - M2","Number","25519"
"PEC25C01","Projected Annual Births","2042","2042","2","Female","23","Method - M3","Number","23412"
"PEC25C01","Projected Annual Births","2043","2043","-","Both sexes","21","Method - M1","Number","56249"
"PEC25C01","Projected Annual Births","2043","2043","-","Both sexes","22","Method - M2","Number","52602"
"PEC25C01","Projected Annual Births","2043","2043","-","Both sexes","23","Method - M3","Number","48020"
"PEC25C01","Projected Annual Births","2043","2043","1","Male","21","Method - M1","Number","28861"
"PEC25C01","Projected Annual Births","2043","2043","1","Male","22","Method - M2","Number","26990"
"PEC25C01","Projected Annual Births","2043","2043","1","Male","23","Method - M3","Number","24639"
"PEC25C01","Projected Annual Births","2043","2043","2","Female","21","Method - M1","Number","27388"
"PEC25C01","Projected Annual Births","2043","2043","2","Female","22","Method - M2","Number","25612"
"PEC25C01","Projected Annual Births","2043","2043","2","Female","23","Method - M3","Number","23381"
"PEC25C01","Projected Annual Births","2044","2044","-","Both sexes","21","Method - M1","Number","56473"
"PEC25C01","Projected Annual Births","2044","2044","-","Both sexes","22","Method - M2","Number","52669"
"PEC25C01","Projected Annual Births","2044","2044","-","Both sexes","23","Method - M3","Number","47844"
"PEC25C01","Projected Annual Births","2044","2044","1","Male","21","Method - M1","Number","28976"
"PEC25C01","Projected Annual Births","2044","2044","1","Male","22","Method - M2","Number","27024"
"PEC25C01","Projected Annual Births","2044","2044","1","Male","23","Method - M3","Number","24549"
"PEC25C01","Projected Annual Births","2044","2044","2","Female","21","Method - M1","Number","27497"
"PEC25C01","Projected Annual Births","2044","2044","2","Female","22","Method - M2","Number","25645"
"PEC25C01","Projected Annual Births","2044","2044","2","Female","23","Method - M3","Number","23295"
"PEC25C01","Projected Annual Births","2045","2045","-","Both sexes","21","Method - M1","Number","56566"
"PEC25C01","Projected Annual Births","2045","2045","-","Both sexes","22","Method - M2","Number","52614"
"PEC25C01","Projected Annual Births","2045","2045","-","Both sexes","23","Method - M3","Number","47558"
"PEC25C01","Projected Annual Births","2045","2045","1","Male","21","Method - M1","Number","29024"
"PEC25C01","Projected Annual Births","2045","2045","1","Male","22","Method - M2","Number","26996"
"PEC25C01","Projected Annual Births","2045","2045","1","Male","23","Method - M3","Number","24402"
"PEC25C01","Projected Annual Births","2045","2045","2","Female","21","Method - M1","Number","27542"
"PEC25C01","Projected Annual Births","2045","2045","2","Female","22","Method - M2","Number","25618"
"PEC25C01","Projected Annual Births","2045","2045","2","Female","23","Method - M3","Number","23156"
"PEC25C01","Projected Annual Births","2046","2046","-","Both sexes","21","Method - M1","Number","56568"
"PEC25C01","Projected Annual Births","2046","2046","-","Both sexes","22","Method - M2","Number","52477"
"PEC25C01","Projected Annual Births","2046","2046","-","Both sexes","23","Method - M3","Number","47198"
"PEC25C01","Projected Annual Births","2046","2046","1","Male","21","Method - M1","Number","29025"
"PEC25C01","Projected Annual Births","2046","2046","1","Male","22","Method - M2","Number","26926"
"PEC25C01","Projected Annual Births","2046","2046","1","Male","23","Method - M3","Number","24217"
"PEC25C01","Projected Annual Births","2046","2046","2","Female","21","Method - M1","Number","27543"
"PEC25C01","Projected Annual Births","2046","2046","2","Female","22","Method - M2","Number","25551"
"PEC25C01","Projected Annual Births","2046","2046","2","Female","23","Method - M3","Number","22981"
"PEC25C01","Projected Annual Births","2047","2047","-","Both sexes","21","Method - M1","Number","56490"
"PEC25C01","Projected Annual Births","2047","2047","-","Both sexes","22","Method - M2","Number","52261"
"PEC25C01","Projected Annual Births","2047","2047","-","Both sexes","23","Method - M3","Number","46771"
"PEC25C01","Projected Annual Births","2047","2047","1","Male","21","Method - M1","Number","28985"
"PEC25C01","Projected Annual Births","2047","2047","1","Male","22","Method - M2","Number","26815"
"PEC25C01","Projected Annual Births","2047","2047","1","Male","23","Method - M3","Number","23998"
"PEC25C01","Projected Annual Births","2047","2047","2","Female","21","Method - M1","Number","27505"
"PEC25C01","Projected Annual Births","2047","2047","2","Female","22","Method - M2","Number","25446"
"PEC25C01","Projected Annual Births","2047","2047","2","Female","23","Method - M3","Number","22773"
"PEC25C01","Projected Annual Births","2048","2048","-","Both sexes","21","Method - M1","Number","56279"
"PEC25C01","Projected Annual Births","2048","2048","-","Both sexes","22","Method - M2","Number","51923"
"PEC25C01","Projected Annual Births","2048","2048","-","Both sexes","23","Method - M3","Number","46234"
"PEC25C01","Projected Annual Births","2048","2048","1","Male","21","Method - M1","Number","28877"
"PEC25C01","Projected Annual Births","2048","2048","1","Male","22","Method - M2","Number","26642"
"PEC25C01","Projected Annual Births","2048","2048","1","Male","23","Method - M3","Number","23723"
"PEC25C01","Projected Annual Births","2048","2048","2","Female","21","Method - M1","Number","27402"
"PEC25C01","Projected Annual Births","2048","2048","2","Female","22","Method - M2","Number","25281"
"PEC25C01","Projected Annual Births","2048","2048","2","Female","23","Method - M3","Number","22511"
"PEC25C01","Projected Annual Births","2049","2049","-","Both sexes","21","Method - M1","Number","55900"
"PEC25C01","Projected Annual Births","2049","2049","-","Both sexes","22","Method - M2","Number","51421"
"PEC25C01","Projected Annual Births","2049","2049","-","Both sexes","23","Method - M3","Number","45547"
"PEC25C01","Projected Annual Births","2049","2049","1","Male","21","Method - M1","Number","28682"
"PEC25C01","Projected Annual Births","2049","2049","1","Male","22","Method - M2","Number","26384"
"PEC25C01","Projected Annual Births","2049","2049","1","Male","23","Method - M3","Number","23370"
"PEC25C01","Projected Annual Births","2049","2049","2","Female","21","Method - M1","Number","27218"
"PEC25C01","Projected Annual Births","2049","2049","2","Female","22","Method - M2","Number","25037"
"PEC25C01","Projected Annual Births","2049","2049","2","Female","23","Method - M3","Number","22177"
"PEC25C01","Projected Annual Births","2050","2050","-","Both sexes","21","Method - M1","Number","55432"
"PEC25C01","Projected Annual Births","2050","2050","-","Both sexes","22","Method - M2","Number","50840"
"PEC25C01","Projected Annual Births","2050","2050","-","Both sexes","23","Method - M3","Number","44793"
"PEC25C01","Projected Annual Births","2050","2050","1","Male","21","Method - M1","Number","28442"
"PEC25C01","Projected Annual Births","2050","2050","1","Male","22","Method - M2","Number","26086"
"PEC25C01","Projected Annual Births","2050","2050","1","Male","23","Method - M3","Number","22983"
"PEC25C01","Projected Annual Births","2050","2050","2","Female","21","Method - M1","Number","26990"
"PEC25C01","Projected Annual Births","2050","2050","2","Female","22","Method - M2","Number","24754"
"PEC25C01","Projected Annual Births","2050","2050","2","Female","23","Method - M3","Number","21810"
"PEC25C01","Projected Annual Births","2051","2051","-","Both sexes","21","Method - M1","Number","54912"
"PEC25C01","Projected Annual Births","2051","2051","-","Both sexes","22","Method - M2","Number","50207"
"PEC25C01","Projected Annual Births","2051","2051","-","Both sexes","23","Method - M3","Number","44002"
"PEC25C01","Projected Annual Births","2051","2051","1","Male","21","Method - M1","Number","28175"
"PEC25C01","Projected Annual Births","2051","2051","1","Male","22","Method - M2","Number","25761"
"PEC25C01","Projected Annual Births","2051","2051","1","Male","23","Method - M3","Number","22577"
"PEC25C01","Projected Annual Births","2051","2051","2","Female","21","Method - M1","Number","26737"
"PEC25C01","Projected Annual Births","2051","2051","2","Female","22","Method - M2","Number","24446"
"PEC25C01","Projected Annual Births","2051","2051","2","Female","23","Method - M3","Number","21425"
"PEC25C01","Projected Annual Births","2052","2052","-","Both sexes","21","Method - M1","Number","54364"
"PEC25C01","Projected Annual Births","2052","2052","-","Both sexes","22","Method - M2","Number","49547"
"PEC25C01","Projected Annual Births","2052","2052","-","Both sexes","23","Method - M3","Number","43184"
"PEC25C01","Projected Annual Births","2052","2052","1","Male","21","Method - M1","Number","27894"
"PEC25C01","Projected Annual Births","2052","2052","1","Male","22","Method - M2","Number","25423"
"PEC25C01","Projected Annual Births","2052","2052","1","Male","23","Method - M3","Number","22158"
"PEC25C01","Projected Annual Births","2052","2052","2","Female","21","Method - M1","Number","26470"
"PEC25C01","Projected Annual Births","2052","2052","2","Female","22","Method - M2","Number","24124"
"PEC25C01","Projected Annual Births","2052","2052","2","Female","23","Method - M3","Number","21026"
"PEC25C01","Projected Annual Births","2053","2053","-","Both sexes","21","Method - M1","Number","53854"
"PEC25C01","Projected Annual Births","2053","2053","-","Both sexes","22","Method - M2","Number","48925"
"PEC25C01","Projected Annual Births","2053","2053","-","Both sexes","23","Method - M3","Number","42416"
"PEC25C01","Projected Annual Births","2053","2053","1","Male","21","Method - M1","Number","27632"
"PEC25C01","Projected Annual Births","2053","2053","1","Male","22","Method - M2","Number","25103"
"PEC25C01","Projected Annual Births","2053","2053","1","Male","23","Method - M3","Number","21764"
"PEC25C01","Projected Annual Births","2053","2053","2","Female","21","Method - M1","Number","26222"
"PEC25C01","Projected Annual Births","2053","2053","2","Female","22","Method - M2","Number","23822"
"PEC25C01","Projected Annual Births","2053","2053","2","Female","23","Method - M3","Number","20652"
"PEC25C01","Projected Annual Births","2054","2054","-","Both sexes","21","Method - M1","Number","53360"
"PEC25C01","Projected Annual Births","2054","2054","-","Both sexes","22","Method - M2","Number","48323"
"PEC25C01","Projected Annual Births","2054","2054","-","Both sexes","23","Method - M3","Number","41670"
"PEC25C01","Projected Annual Births","2054","2054","1","Male","21","Method - M1","Number","27379"
"PEC25C01","Projected Annual Births","2054","2054","1","Male","22","Method - M2","Number","24795"
"PEC25C01","Projected Annual Births","2054","2054","1","Male","23","Method - M3","Number","21381"
"PEC25C01","Projected Annual Births","2054","2054","2","Female","21","Method - M1","Number","25981"
"PEC25C01","Projected Annual Births","2054","2054","2","Female","22","Method - M2","Number","23528"
"PEC25C01","Projected Annual Births","2054","2054","2","Female","23","Method - M3","Number","20289"
"PEC25C01","Projected Annual Births","2055","2055","-","Both sexes","21","Method - M1","Number","52839"
"PEC25C01","Projected Annual Births","2055","2055","-","Both sexes","22","Method - M2","Number","47694"
"PEC25C01","Projected Annual Births","2055","2055","-","Both sexes","23","Method - M3","Number","40905"
"PEC25C01","Projected Annual Births","2055","2055","1","Male","21","Method - M1","Number","27112"
"PEC25C01","Projected Annual Births","2055","2055","1","Male","22","Method - M2","Number","24472"
"PEC25C01","Projected Annual Births","2055","2055","1","Male","23","Method - M3","Number","20988"
"PEC25C01","Projected Annual Births","2055","2055","2","Female","21","Method - M1","Number","25727"
"PEC25C01","Projected Annual Births","2055","2055","2","Female","22","Method - M2","Number","23222"
"PEC25C01","Projected Annual Births","2055","2055","2","Female","23","Method - M3","Number","19917"
"PEC25C01","Projected Annual Births","2056","2056","-","Both sexes","21","Method - M1","Number","52340"
"PEC25C01","Projected Annual Births","2056","2056","-","Both sexes","22","Method - M2","Number","47088"
"PEC25C01","Projected Annual Births","2056","2056","-","Both sexes","23","Method - M3","Number","40166"
"PEC25C01","Projected Annual Births","2056","2056","1","Male","21","Method - M1","Number","26856"
"PEC25C01","Projected Annual Births","2056","2056","1","Male","22","Method - M2","Number","24161"
"PEC25C01","Projected Annual Births","2056","2056","1","Male","23","Method - M3","Number","20609"
"PEC25C01","Projected Annual Births","2056","2056","2","Female","21","Method - M1","Number","25484"
"PEC25C01","Projected Annual Births","2056","2056","2","Female","22","Method - M2","Number","22927"
"PEC25C01","Projected Annual Births","2056","2056","2","Female","23","Method - M3","Number","19557"
"PEC25C01","Projected Annual Births","2057","2057","-","Both sexes","21","Method - M1","Number","51897"
"PEC25C01","Projected Annual Births","2057","2057","-","Both sexes","22","Method - M2","Number","46532"
"PEC25C01","Projected Annual Births","2057","2057","-","Both sexes","23","Method - M3","Number","39475"
"PEC25C01","Projected Annual Births","2057","2057","1","Male","21","Method - M1","Number","26628"
"PEC25C01","Projected Annual Births","2057","2057","1","Male","22","Method - M2","Number","23876"
"PEC25C01","Projected Annual Births","2057","2057","1","Male","23","Method - M3","Number","20255"
"PEC25C01","Projected Annual Births","2057","2057","2","Female","21","Method - M1","Number","25269"
"PEC25C01","Projected Annual Births","2057","2057","2","Female","22","Method - M2","Number","22656"
"PEC25C01","Projected Annual Births","2057","2057","2","Female","23","Method - M3","Number","19220"
